"","Port.Name","Border","Date","Measure","Lon","Lat","EXMXUS_20191202","LRUNTTTTCAM156S","PredictedValue"
"1","Calexico East","US-Mexico Border",2019-03-01,"Trucks",-115.48433,32.67524,19.2442,5.8,8670.04606029748
"2","Van Buren","US-Canada Border",2019-03-01,"Rail Containers Full",-67.94271,47.16207,19.2442,5.8,512.402240234737
"3","Otay Mesa","US-Mexico Border",2019-03-01,"Trucks",-117.05333,32.57333,19.2442,5.8,21258.4841860499
"4","Nogales","US-Mexico Border",2019-03-01,"Trains",-110.93361,31.34028,19.2442,5.8,10168.2065228441
"5","Trout River","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-73.44253,44.99001,19.2442,5.8,-4925.29468109999
"6","Madawaska","US-Canada Border",2019-03-01,"Trucks",-68.3271,47.35446,19.2442,5.8,633.861952342374
"7","Pembina","US-Canada Border",2019-03-01,"Bus Passengers",-97.24333,48.96639,19.2442,5.8,5545.40671740474
"8","Progreso","US-Mexico Border",2019-03-01,"Truck Containers Empty",-97.94889,26.06167,19.2442,5.8,2758.42578944597
"9","Portal","US-Canada Border",2019-03-01,"Rail Containers Empty",-102.54917,48.99583,19.2442,5.8,3534.12434487981
"10","Champlain-Rouses Point","US-Canada Border",2019-03-01,"Trucks",-73.44694,44.98639,19.2442,5.8,11979.8810953552
"11","Opheim","US-Canada Border",2019-03-01,"Personal Vehicles",-106.40265,48.85574,19.2442,5.8,-3086.30490660507
"12","Neche","US-Canada Border",2019-03-01,"Trucks",-97.55444,48.98611,19.2442,5.8,366.229839465803
"13","Lancaster","US-Canada Border",2019-03-01,"Personal Vehicles",-96.82024,48.84911,19.2442,5.8,1482.25941133729
"14","Derby Line","US-Canada Border",2019-03-01,"Buses",-72.09944,45.005,19.2442,5.8,2930.47758657746
"15","Sarles","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-98.99457,48.94105,19.2442,5.8,-23718.7710632536
"16","Wildhorse","US-Canada Border",2019-03-01,"Truck Containers Full",-109.67761,48.54863,19.2442,5.8,1699.87027711685
"17","Derby Line","US-Canada Border",2019-03-01,"Truck Containers Full",-72.09944,45.005,19.2442,5.8,2930.47758657746
"18","Lynden","US-Canada Border",2019-03-01,"Pedestrians",-122.44316,48.94802,19.2442,5.8,1169.93087326944
"19","Vanceboro","US-Canada Border",2019-03-01,"Pedestrians",-67.42955,45.55984,19.2442,5.8,341.779504350231
"20","San Ysidro","US-Mexico Border",2019-03-01,"Bus Passengers",-117.02667,32.54306,19.2442,5.8,11915.3611793589
"21","Scobey","US-Canada Border",2019-03-01,"Personal Vehicles",-105.44272,48.80707,19.2442,5.8,-2015.98328864158
"22","Beecher Falls","US-Canada Border",2019-03-01,"Trucks",-71.49664,45.00808,19.2442,5.8,321.335552046007
"23","Calais","US-Canada Border",2019-03-01,"Train Passengers",-67.27917,45.18889,19.2442,5.8,2040.1839739867
"24","Massena","US-Canada Border",2019-03-01,"Truck Containers Full",-74.74,44.98944,19.2442,5.8,1370.73804226316
"25","Oroville","US-Canada Border",2019-03-01,"Buses",-119.43444,48.93917,19.2442,5.8,1079.81898307855
"26","Hansboro","US-Canada Border",2019-03-01,"Truck Containers Full",-99.3825,48.95,19.2442,5.8,343.937675464364
"27","Ferry","US-Canada Border",2019-03-01,"Personal Vehicles",-118.58774,48.88627,19.2442,5.8,-3870.67976001048
"28","Pembina","US-Canada Border",2019-03-01,"Trucks",-97.24333,48.96639,19.2442,5.8,5545.40671740474
"29","Tecate","US-Mexico Border",2019-03-01,"Truck Containers Empty",-116.62667,32.57722,19.2442,5.8,3324.84895586332
"30","Eastport","US-Canada Border",2019-03-01,"Trains",-116.18028,48.99944,19.2442,5.8,1894.75900222491
"31","Walhalla","US-Canada Border",2019-03-01,"Personal Vehicles",-97.91778,48.92333,19.2442,5.8,-1754.73783152647
"32","Calais","US-Canada Border",2019-03-01,"Trains",-67.27917,45.18889,19.2442,5.8,2040.1839739867
"33","Roma","US-Mexico Border",2019-03-01,"Truck Containers Empty",-99.01833,26.40361,19.2442,5.8,2645.1681610996
"34","Naco","US-Mexico Border",2019-03-01,"Truck Containers Empty",-109.9475,31.33528,19.2442,5.8,2135.41200802305
"35","Boquillas","US-Mexico Border",2019-03-01,"Pedestrians",-102.95,29.19,19.2442,5.8,-1122.31127560884
"36","Raymond","US-Canada Border",2019-03-01,"Buses",-104.575,48.99667,19.2442,5.8,435.46356803105
"37","Porthill","US-Canada Border",2019-03-01,"Truck Containers Empty",-116.49828,48.99282,19.2442,5.8,290.985813136377
"38","Norton","US-Canada Border",2019-03-01,"Personal Vehicles",-71.79528,45.01,19.2442,5.8,36.4668111536594
"39","Sault Sainte Marie","US-Canada Border",2019-03-01,"Truck Containers Empty",-84.29889,46.47028,19.2442,5.8,2543.77039242439
"40","Antler","US-Canada Border",2019-03-01,"Truck Containers Full",-101.28194,48.97083,19.2442,5.8,217.248017265567
"41","Otay Mesa","US-Mexico Border",2019-03-01,"Personal Vehicles",-117.05333,32.57333,19.2442,5.8,527347.182048365
"42","Eastport","US-Canada Border",2019-03-01,"Pedestrians",-116.18028,48.99944,19.2442,5.8,1894.75900222491
"43","Rio Grande City","US-Mexico Border",2019-03-01,"Pedestrians",-98.82,26.37944,19.2442,5.8,9018.26938526332
